Element,Font Size,Leading,Tracking
Hero Section Heading,27.5px,33.0,0%
Hero Body,11.3px,Auto,0%
Section Heading,14.6px,Auto,0%
Section Body,11.3px,Auto,0%
Grid View Headings,10.5px,Auto,0%
Grid View Body (Not Hovered),5.7px,Auto,0%
Grid View Body (Hovered),4.9px,Auto,0%
Card Heading,17.5px,21.0,0.16px
Card Body,6.9px,8.3,0%
Comparison Grid Side-Heading,8.3px,10.0,0%
Comparison Grid Body,8.1px,Auto,0%
Slider Heading,6.9px,8.3,0%
Slider Subtext,5.7px,Auto,0%
Footer Navigation,5.7px,Auto,0%
Footer Micro Text,4.9px,Auto,0%
Button,14.6px,Auto,0%
Spacing between Heading & Body,-,0.8em,-
Spacing between Body & Button,-,3.2em,-
Spacing between Section Heading & Section Body,-,1.2em,-
Spacing between Section Body & Next Element,-,1.2em,-
Spacing between Grid Heading & Grid Body,-,0.6em,-
Spacing between Card Heading & Body,-,0.6em,-
Spacing between Slider Heading & Body,-,0.6em,-
Spacing between Slider Heading & Subtext,-,0.6em,-
Spacing between Nav & Micro Text,-,0.6em,-
